catalog_id,tif,minxy,maxxy
104001002ABF5900,2101311.tif,"(-97.119140625, 28.4765625)","(-97.03125, 28.564453125)"
104001002ABF5900,2101313.tif,"(-97.119140625, 28.564453125)","(-97.03125, 28.65234375)"
104001002ABF5900,0332221.tif,"(-96.943359375, 27.94921875)","(-96.85546875, 28.037109375)"
104001002ABF5900,2112000.tif,"(-97.03125, 28.828125)","(-96.943359375, 28.916015625)"
104001002ABF5900,2112001.tif,"(-96.943359375, 28.828125)","(-96.85546875, 28.916015625)"
104001002ABF5900,2110001.tif,"(-96.943359375, 28.125)","(-96.85546875, 28.212890625)"
104001002ABF5900,2110201.tif,"(-96.943359375, 28.4765625)","(-96.85546875, 28.564453125)"
104001002ABF5900,2110000.tif,"(-97.03125, 28.125)","(-96.943359375, 28.212890625)"
104001002ABF5900,0332202.tif,"(-97.03125, 27.861328125)","(-96.943359375, 27.94921875)"
104001002ABF5900,2110221.tif,"(-96.943359375, 28.65234375)","(-96.85546875, 28.740234375)"
104001002ABF5900,2110203.tif,"(-96.943359375, 28.564453125)","(-96.85546875, 28.65234375)"
104001002ABF5900,2110021.tif,"(-96.943359375, 28.30078125)","(-96.85546875, 28.388671875)"
104001002ABF5900,2110222.tif,"(-97.03125, 28.740234375)","(-96.943359375, 28.828125)"
104001002ABF5900,0332220.tif,"(-97.03125, 27.94921875)","(-96.943359375, 28.037109375)"
104001002ABF5900,2101333.tif,"(-97.119140625, 28.740234375)","(-97.03125, 28.828125)"
104001002ABF5900,2112003.tif,"(-96.943359375, 28.916015625)","(-96.85546875, 29.00390625)"
104001002ABF5900,0332201.tif,"(-96.943359375, 27.7734375)","(-96.85546875, 27.861328125)"
104001002ABF5900,2110202.tif,"(-97.03125, 28.564453125)","(-96.943359375, 28.65234375)"
104001002ABF5900,0323331.tif,"(-97.119140625, 27.94921875)","(-97.03125, 28.037109375)"
104001002ABF5900,2101111.tif,"(-97.119140625, 28.125)","(-97.03125, 28.212890625)"
104001002ABF5900,0323311.tif,"(-97.119140625, 27.7734375)","(-97.03125, 27.861328125)"
104001002ABF5900,0332222.tif,"(-97.03125, 28.037109375)","(-96.943359375, 28.125)"
104001002ABF5900,2101133.tif,"(-97.119140625, 28.388671875)","(-97.03125, 28.4765625)"
104001002ABF5900,2103113.tif,"(-97.119140625, 28.916015625)","(-97.03125, 29.00390625)"
104001002ABF5900,2112020.tif,"(-97.03125, 29.00390625)","(-96.943359375, 29.091796875)"
104001002ABF5900,2103111.tif,"(-97.119140625, 28.828125)","(-97.03125, 28.916015625)"
104001002ABF5900,2110022.tif,"(-97.03125, 28.388671875)","(-96.943359375, 28.4765625)"
104001002ABF5900,2103131.tif,"(-97.119140625, 29.00390625)","(-97.03125, 29.091796875)"
104001002ABF5900,2110220.tif,"(-97.03125, 28.65234375)","(-96.943359375, 28.740234375)"
104001002ABF5900,0323333.tif,"(-97.119140625, 28.037109375)","(-97.03125, 28.125)"
104001002ABF5900,0332223.tif,"(-96.943359375, 28.037109375)","(-96.85546875, 28.125)"
104001002ABF5900,2101113.tif,"(-97.119140625, 28.212890625)","(-97.03125, 28.30078125)"
104001002ABF5900,0332200.tif,"(-97.03125, 27.7734375)","(-96.943359375, 27.861328125)"
104001002ABF5900,2110200.tif,"(-97.03125, 28.4765625)","(-96.943359375, 28.564453125)"
104001002ABF5900,2112021.tif,"(-96.943359375, 29.00390625)","(-96.85546875, 29.091796875)"
104001002ABF5900,2110020.tif,"(-97.03125, 28.30078125)","(-96.943359375, 28.388671875)"
104001002ABF5900,0323313.tif,"(-97.119140625, 27.861328125)","(-97.03125, 27.94921875)"
104001002ABF5900,2110223.tif,"(-96.943359375, 28.740234375)","(-96.85546875, 28.828125)"
104001002ABF5900,0332203.tif,"(-96.943359375, 27.861328125)","(-96.85546875, 27.94921875)"
104001002ABF5900,2112002.tif,"(-97.03125, 28.916015625)","(-96.943359375, 29.00390625)"
104001002ABF5900,2110003.tif,"(-96.943359375, 28.212890625)","(-96.85546875, 28.30078125)"
104001002ABF5900,2101131.tif,"(-97.119140625, 28.30078125)","(-97.03125, 28.388671875)"
104001002ABF5900,2110002.tif,"(-97.03125, 28.212890625)","(-96.943359375, 28.30078125)"
103001004F03B500,3020213.tif,"(-95.361328125, 29.970703125)","(-95.2734375, 30.05859375)"
103001004F03B500,3020122.tif,"(-95.2734375, 29.794921875)","(-95.185546875, 29.8828125)"
103001004F03B500,3002213.tif,"(-95.361328125, 29.267578125)","(-95.2734375, 29.35546875)"
103001004F03B500,3020101.tif,"(-95.185546875, 29.53125)","(-95.09765625, 29.619140625)"
103001004F03B500,3002302.tif,"(-95.2734375, 29.267578125)","(-95.185546875, 29.35546875)"
103001004F03B500,3002122.tif,"(-95.2734375, 29.091796875)","(-95.185546875, 29.1796875)"
103001004F03B500,3020303.tif,"(-95.185546875, 29.970703125)","(-95.09765625, 30.05859375)"
103001004F03B500,3002323.tif,"(-95.185546875, 29.443359375)","(-95.09765625, 29.53125)"
103001004F03B500,3002300.tif,"(-95.2734375, 29.1796875)","(-95.185546875, 29.267578125)"
103001004F03B500,3020031.tif,"(-95.361328125, 29.70703125)","(-95.2734375, 29.794921875)"
103001004F03B500,3002301.tif,"(-95.185546875, 29.1796875)","(-95.09765625, 29.267578125)"
103001004F03B500,3020013.tif,"(-95.361328125, 29.619140625)","(-95.2734375, 29.70703125)"
103001004F03B500,3020211.tif,"(-95.361328125, 29.8828125)","(-95.2734375, 29.970703125)"
103001004F03B500,3002031.tif,"(-95.361328125, 29.00390625)","(-95.2734375, 29.091796875)"
